Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,playerid,MLBAMID
Lyon Richardson,CIN,0,2,0,4,4,16.2,6.480000989,8.100001236,3.240000494,0.229166667,0.6779661,0.481481481,0.285714285,96.32343207,8.640001318,8.07,9.195041266,6.59826408,-0.438975692,Lyon Richardson,24581,680689
Jeremiah Estrada,CHC,0,0,0,12,0,10.2,10.96875262,10.12500241,3.375000805,0.296296296,0.86956522,0.225806451,0.25,95.87868051,6.750001609,12.64,9.067541745,6.672568805,-0.442259699,Jeremiah Estrada,22210,669093
Thaddeus Ward,WSN,0,0,0,26,0,35.1,7.641510534,7.132076498,1.783019125,0.23655914,0.67073171,0.454545454,0.175,93.49881744,6.367925445,5.52,6.679569154,5.975816322,-0.450384945,Thaddeus Ward,21513,663658
Gavin Stone,LAD,1,1,1,8,4,31,6.387096971,3.774193664,2.322580717,0.355140187,0.58232932,0.455357142,0.228571428,94.15408944,9.000000277,6.4,6.642137238,5.153985947,-0.451044932,Gavin Stone,27792,694813
Andrés Machado,WSN,4,1,0,44,0,50,7.740001181,2.340000357,2.16000033,0.297101449,0.75697211,0.420689655,0.24,96.65397569,5.220000797,5.52,5.495040701,4.028392231,-0.459354967,Andres Machado,14681,600921
Alec Marsh,KCR,3,9,0,17,8,74.1,10.29148,4.721973175,1.937219764,0.316062176,0.73099415,0.346341463,0.183908045,94.36990234,5.690583057,5.92,5.703470895,4.840353426,-0.471095949,Alec Marsh,27451,679525
Adam Oller,OAK,1,1,0,9,1,19.2,5.9491536,5.4915264,2.288136,0.342857143,0.51428571,0.293333333,0.138888888,94.04235052,10.0677984,7.82,7.22114276,6.942532361,-0.477897242,Adam Oller,20132,670124
José Suarez,LAA,1,3,0,11,7,33.2,7.48514908,5.346535057,2.673267529,0.339622642,0.66037736,0.333333333,0.181818181,92.26778639,8.287129339,6.04,7.324347598,6.163981563,-0.481950294,Jose Suarez,19911,660761
Noah Syndergaard,- - -,2,6,0,18,18,88.2,5.684210689,1.928571484,2.233082771,0.288732394,0.66536204,0.371710526,0.183333333,92.32927366,6.496240788,6.48,6.198649466,5.210704443,-0.482269645,Noah Syndergaard,11762,592789
Zach Neal,OAK,1,1,0,14,2,27,8.333333922,4.666666996,2.666666855,0.293333333,0.68965517,0.341463414,0.296296296,89.15905762,6.666667138,7.49,7.032818404,4.834318151,-0.492473394,Zach Neal,11294,594943
Gavin Hollowell,COL,2,0,1,26,0,33.2,8.554457061,4.811882097,2.138614265,0.255555556,0.73059361,0.319587628,0.186046511,93.55929878,5.881189229,5.41,6.581773661,5.604371261,-0.495740414,Gavin Hollowell,25427,668970
Alek Manoah,TOR,3,9,0,19,19,87.1,8.141221848,6.080153026,1.545801617,0.308300395,0.71428571,0.37735849,0.137614678,92.91564892,5.874046144,6.12,6.014582505,5.845292509,-0.499047667,Alek Manoah,26410,666201
Amos Willingham,WSN,0,2,0,18,0,24.1,5.54794593,3.328767558,2.958904496,0.325301205,0.79881657,0.362637362,0.181818181,95.83683525,6.657535116,6.95,7.529013521,6.2446631,-0.50650835,Amos Willingham,26128,686294
