Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,playerid,MLBAMID
Anthony Santander,BAL,153,656,28,81,95,5,0.083841463,0.231707317,0.214890017,0.29879518,0.257191201,0.324695121,0.472081218,0.340428357,0.319,119.3282256,-0.670360629,14.52210991,-10.62508976,2.635661002,Anthony Santander,14551,623993
Jack Suwinski,PIT,144,534,26,63,74,13,0.140449438,0.322097378,0.230425056,0.290196078,0.223713646,0.33895131,0.454138702,0.341220921,0.346,111.6858585,2.086744142,9.817471138,-1.657471657,2.622925054,Jack Suwinski,22244,669261
Jake Rogers,DET,107,365,21,47,49,1,0.076712328,0.323287671,0.223564955,0.268041237,0.220543806,0.285714285,0.444108761,0.31212826,0.321,98.2869608,-0.24241161,-0.991602941,14.47930539,2.595229595,Jake Rogers,19452,668670
Jose Siri,TBR,101,364,25,58,56,12,0.054945054,0.357142857,0.272189349,0.268817204,0.221893491,0.26721763,0.49408284,0.318644301,0.298,105.6474797,2.250016788,4.713154197,8.599702716,2.574369039,Jose Siri,17452,642350
Austin Hays,BAL,144,566,16,76,67,5,0.067137809,0.249116607,0.169230769,0.345108695,0.275,0.325088339,0.444230769,0.330001531,0.309,112.1011643,-1.294254886,6.912588896,-0.98895216,2.529464489,Austin Hays,19363,669720
Jarren Duran,BOS,102,362,8,46,40,24,0.066298342,0.248618784,0.186746988,0.381355932,0.295180722,0.346260387,0.48192771,0.353608782,0.323,120.0890163,7.218170829,15.931815,-3.235116582,2.506076461,Jarren Duran,24617,680776
Willi Castro,MIN,124,409,9,60,34,33,0.083129584,0.242053789,0.153631285,0.328063241,0.25698324,0.339066339,0.410614525,0.327334849,0.301,108.3149023,5.053649651,9.128512894,1.687112033,2.479494132,Willi Castro,17338,650489
Luke Raley,TBR,118,406,19,56,49,14,0.068965517,0.315270935,0.240896359,0.330188679,0.249299719,0.333333333,0.490196078,0.352533147,0.327,129.1365818,2.029598289,16.20375441,-5.326313257,2.475382103,Luke Raley,19354,670042
Yainer Diaz,HOU,104,377,23,51,60,0,0.029177718,0.196286472,0.256338029,0.291666666,0.28169014,0.307692307,0.538028169,0.353531655,0.357,127.3370778,-1.6754405,10.67339533,1.17241776,2.472609244,Yainer Diaz,23003,673237
Jeff McNeil,NYM,156,648,10,75,55,10,0.060185185,0.100308641,0.107692307,0.288499025,0.27008547,0.333333333,0.377777777,0.31417148,0.294,99.6857633,0.656067355,0.403806207,1.927226067,2.427915181,Jeff McNeil,15362,643446
J.D. Martinez,LAD,113,479,33,61,103,1,0.07098121,0.311064718,0.300925926,0.324324324,0.270833333,0.320754716,0.571759259,0.369350391,0.369,134.8517529,-0.840923718,19.84041265,-11.79139367,2.425514412,J.D. Martinez,6184,502110
Leody Taveras,TEX,143,554,14,67,67,14,0.063176895,0.211191335,0.154598825,0.317708333,0.266144814,0.312159709,0.420743639,0.315909937,0.319,99.74102423,2.705251371,2.533341241,2.478010416,2.397388946,Leody Taveras,18900,665750
Orlando Arcia,ATL,139,533,17,66,65,1,0.073170731,0.191369606,0.155737705,0.301075268,0.264344262,0.320825515,0.420081967,0.321318155,0.307,99.74476248,-2.2733133,-2.441848333,8.302247286,2.390226563,Orlando Arcia,13185,606115
Tommy Edman,STL,137,528,13,69,47,27,0.066287878,0.159090909,0.150313153,0.274611398,0.248434237,0.306666666,0.39874739,0.305574043,0.312,91.86527269,2.834257822,-2.486768158,8.358899117,2.37445609,Tommy Edman,19470,669242
Riley Greene,DET,99,416,11,51,37,7,0.084134615,0.274038461,0.158730159,0.384313725,0.288359788,0.348557692,0.447089947,0.344290463,0.365,120.5792885,2.024776855,12.28262499,-2.910273343,2.359552299,Riley Greene,25976,682985
Royce Lewis,MIN,58,239,15,36,52,6,0.083682008,0.230125523,0.239631336,0.353741496,0.30875576,0.372384937,0.548387096,0.3926861,0.351,153.6112868,-0.37801582,14.97475301,0.148305774,2.326703326,Royce Lewis,20437,668904
Ryan Jeffers,MIN,96,335,14,46,43,3,0.098507462,0.27761194,0.213286713,0.359116022,0.276223776,0.36858006,0.489510489,0.368915746,0.333,137.1355331,-2.029700658,12.87650291,-1.177082419,2.314144701,Ryan Jeffers,24618,680777
CJ Abrams,WSN,151,614,18,83,64,47,0.052117263,0.19218241,0.1669627,0.279069767,0.245115452,0.299509001,0.412078152,0.306281679,0.304,91.22964773,9.213340832,2.542142276,-0.35215044,2.298656543,CJ Abrams,25768,682928
